[02:41:15] [User Authenticator #28/INFO]: UUID of player .NerperJr is 00000000-0000-0000-0009-01f10a6574ab
[02:41:15] [Server thread/INFO]: .NerperJr joined the game
[02:41:15] [Server thread/INFO]: .NerperJr[/180.150.9.48:56432] logged in with entity id 61 at ([world]-1522.5613, 111.0, 683.65216)
[02:41:36] [Server thread/INFO]: .NerperJr lost connection: Disconnected
[02:41:36] [Server thread/INFO]: .NerperJr left the game
[07:50:20] [User Authenticator #29/INFO]: UUID of player Gspt is 4fc9c03d-49f3-4dc9-9b0f-111ea5a7fa75
[07:50:20] [Server thread/INFO]: Gspt joined the game
[07:50:20] [Server thread/INFO]: Gspt[/119.18.1.175:57940] logged in with entity id 62 at ([world]-1522.0995597524943, 108.0, 716.6999999880791)
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: FML
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: slabmachines
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: cyclopscore
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioTypeFlag
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: slimyboyos
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: ForgeMicroblock
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: bdew.multiblock
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: extendedcrafting
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: PortalGun
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioDeskOpenGUI
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: chineseworkshop
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: contenttweaker
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: projecte
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: GuideAPI
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: findme
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: Mystcraft
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: ironjetpacks
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: genmpbasic
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: xnet
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioAtlas
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: cookingforblockheads
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioRecipeCraft
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: culinaryconstruct
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: Astral Sorcery
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioRBook
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioTypeUpdate
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: OpenComputers
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: buildinggadgets
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: BiblioClipboard
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: apotheosis
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: darkutils
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: mcmultipart_cbe
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: waila
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: sqpatch
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: mcmultipart
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: mcjtylib_ng
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: limitlessstructureblocks
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: malisisdoors
[07:50:21] [Netty Epoll Server IO #1/WARN]: [ViaBackwards] Ignoring plugin channel in incoming REGISTER: mob_grinding_utils
